title,genre,length,year,plot,star,n_vote,box_office,director,cast
Swan Song,"Biography, Comedy, Drama",105 min,(II) (2021),A formerly flamboyant hairdresser takes a long walk across a small town to style a dead woman's hair.,7.0,"3,440",N/A,['Todd Stephens'],"['Udo Kier', 'Jennifer Coolidge', 'Linda Evans', 'Michael Urie']"
Heartbeats,"Drama, Romance",101 min,(2010),The story of three close friends who are involved in a love-triangle.,7.0,"30,295",$0.06M,['Xavier Dolan'],"['Xavier Dolan', 'Monia Chokri', 'Niels Schneider', 'Anne Dorval']"
Snapshots,Drama,95 min,(2018),"When a grandmother's secret past collides with her granddaughter's secret future and her daughter's angry present, can the love of three generations be enough to accept decades of deceit. With a simple roll of film it begins.",7.0,"2,436",N/A,['Melanie Mayron'],"['Piper Laurie', 'Brooke Adams', 'Emily Baldoni', 'Christopher McVay']"
The Greatest Lie Ever Sold: George Floyd and the Rise of BLM,Documentary,79 min,(2022),"On the 2-year anniversary of George Floyd's death, Candace revisits Minneapolis and the violent, racially-divided aftermath that fueled BLM's global rise--and filled its coffers.",7.0,"4,493",N/A,['Candace Owens'],"['Candace Owens', 'Bob Kroll', 'Liz Collin', 'Alvin Manago']"
Holy Hell,"Documentary, Drama",100 min,(2016),"An inside look at Buddhafield, a West Hollywood cult formed by a charismatic teacher in the 1980s that eventually imploded.",7.0,"6,046",$0.02M,['Will Allen'],"['Will Allen', 'Dimitrius Pulido', 'Phillipe Coquet', 'David Christopher']"
Love Songs,"Drama, Musical, Romance",91 min,(2007),"Ismael and Julie enter a playful yet emotionally laced threesome with Alice. When tragedy strikes, these young Parisians are forced to deal with the fragility of life and love.",7.0,"10,116",$0.10M,['Christophe Honoré'],"['Ludivine Sagnier', 'Louis Garrel', 'Clotilde Hesme', 'Chiara Mastroianni']"
Badhaai Do,"Comedy, Crime, Drama",147 min,(2022),Shardul Thakur Flaglot and Suman Singh enter into a marriage of convenience but chaos ensues when her unhinged girlfriend comes to stay with them.,7.0,"21,050",N/A,['Harshavardhan Kulkarni'],"['Rajkummar Rao', 'Bhumi Pednekar', 'Chum Darang', 'Sheeba Chaddha']"
Rage,"Drama, Mystery, Thriller",142 min,(2016),A grisly unsolved murder links three seemingly unrelated stories in three different Japanese cities.,7.0,"3,392",N/A,['Sang-il Lee'],"['Ken Watanabe', 'Mirai Moriyama', 'Aoi Miyazaki', 'Satoshi Tsumabuki']"
Mädchen in Uniform,Drama,91 min,(1958),"In a strict Prussian boarding school for girls, sensitive student Manuela von Meinhardis develops a forbidden love to one of her teachers, the compassionate Elisabeth von Bernburg.",7.0,"1,755",N/A,['Géza von Radványi'],"['Lilli Palmer', 'Romy Schneider', 'Therese Giehse', 'Blandine Ebinger']"
Romeos,"Drama, Romance",94 min,(2011),"A drama centered on the relationship between a two young men, as one of them navigates the difficulties of life as a transgender man.",7.0,"3,493",$0.00M,['Sabine Bernardi'],"['Rick Okon', 'Max Befort', 'Liv Lisa Fries', 'Felix Brocke']"
Private Desert,Drama,121 min,(2021),"Daniel is an exemplary policeman, but he ends up making a mistake and becoming suspended. With nothing keeping him in his hometown, he goes to visit his online love interest.",7.0,"1,803",N/A,['Aly Muritiba'],"['Antonio Saboia', 'Pedro Fasanaro', 'Thomas Aquino', 'Laila Garin']"
Are We OK?,Drama,92 min,(2013),The key to the puzzle of forlorn sculpture Tammuz's life and reality of his dreams lies within Ihsan who is a young boy with tetra-amelia syndrome.,7.0,"5,564",N/A,['Çagan Irmak'],"['Deniz Celiloglu', 'Aras Bulut Iynemli', 'Sumru Yavrucuk', 'Zuhal Gencer']"
