title,genre,length,year,plot,star,n_vote,box_office,director,cast,keyword
Love & Human Remains,"['Comedy', ' Drama']",100 min,1993,"Set in a dreary urban landscape of Edmonton, LOVE AND HUMAN REMAINS is a dark comedy about a group of twentysomethings looking for love and meaning in the '90s. The film focuses on ...                See full summary »",6.6,2831,950000.0,['Denys Arcand'],"['Thomas Gibson', 'Ruth Marshall', 'Cameron Bancroft', 'Mia Kirshner']",lesbian
Intimate Confessions of a Chinese Courtesan,"['Action', ' Drama']",86 min,1972,"The Four Seasons Brothel is run by a ruthless madam, Lady Chun Yi. Countless young girls have been kidnapped or bought and then sold into a life of servitude, prostitution, and torture at ...                See full summary »",7.1,985,0.0,['Yuen Chor'],"['Lily Ho', 'Hua Yueh', 'Betty Pei Ti', 'Lin Tung']",lesbian
Mental,"['Comedy', ' Drama']",116 min,2012,"A charismatic, crazy hothead transforms a family's life when she becomes the nanny of five girls whose mother has cracked from her husband's political ambitions and his infidelity.",6.1,5200,20000.0,['P.J. Hogan'],"['Toni Collette', 'Anthony LaPaglia', 'Liev Schreiber', 'Rebecca Gibney']",lesbian
Bitter Harvest,"['Action', ' Comedy', ' Thriller']",98 min,1993,Two attractive strangers invade the life of a reclusive farmboy who recently inherited his father's estate.,4.5,867,0.0,['Duane Clark'],"['Patsy Kensit', 'Stephen Baldwin', 'Jennifer Rubin', 'Adam Baldwin']",lesbian
Thirteen Erotic Ghosts,"['Fantasy', ' Horror']",71 min,2002,Paranormal investigators arrive at a burned-down girlschool to check if the rumors of ghost appearances are true. With their special goggles they see that the ghosts are constantly engaging in lesbian sex which gets everyone horny.,4.0,350,0.0,['Fred Olen Ray'],"['Julie Strain', 'Richard Gabai', 'John Henry Richardson', 'Peter Spellos']",lesbian
Skate Kitchen,['Drama'],106 min,2018,A teenaged skateboarder makes friends with a bunch of other skateboarding girls in New York City.,6.8,4867,240000.0,['Crystal Moselle'],"['Rachelle Vinberg', 'Dede Lovelace', 'Nina Moran', 'Kabrina Adams']",lesbian
Love Is the Devil: Study for a Portrait of Francis Bacon,"['Biography', ' Drama', ' Romance']",87 min,1998,"Biography of British painter Francis Bacon focuses on his relationship with his lover, George Dyer, a former small time crook.",6.5,3994,340000.0,['John Maybury'],"['Derek Jacobi', 'Daniel Craig', 'Tilda Swinton', 'Anne Lambton']",lesbian
Daddy Issues,"['Drama', ' Romance']",81 min,2018,"Maya, a queer pixie artist, meets and falls madly in love with her insta-crush: the sexually fluid fashionista, Jasmine. It's all gumdrops and fairytales until Maya discovers Jasmine's passionate relationship with a secret sugar daddy.",4.4,843,0.0,['Amara Cash'],"['Madison Lawlor', 'Montana Manning', 'Andrew Pifko', 'Kamala Jones']",lesbian
Stuff,['Drama'],98 min,2015,A married lesbian couple raising two daughters find themselves in a mid-life crisis where grief and attraction threaten their domestic nucleus.,5.5,428,0.0,['Suzanne Guacci'],"['Yvonne Jung', 'Karen Sillas', 'Thunderbird Dinwiddie', 'Phyllis Somerville']",lesbian
Beyond the Hills,['Drama'],152 min,2012,"The friendship between two young women who grew up in the same orphanage; one has found refuge at a convent in Romania and refuses to leave with her friend, who now lives in Germany.",7.5,13200,110000.0,['Cristian Mungiu'],"['Cosmina Stratan', 'Cristina Flutur', 'Valeriu Andriuta', 'Dana Tapalaga']",lesbian
Lola's Secret,"['Drama', ' Horror', ' Thriller']",88 min,1984,"A young lad's dreams come true when his family's sexy new maid seduces him, but she also has a secret that leads to trouble.",4.7,233,0.0,['Bruno Gaburro'],"['Donatella Damiani', 'Scott Coffey', 'Gabriele Tinti', 'Peter Boom']",lesbian
The Ghost Galleon,['Horror'],89 min,1974,The living corpses of the Satan-worshiping Knights Templar hunt for human victims in a 16th century galleon.,4.5,2974,0.0,['Amando de Ossorio'],"['Maria Perschy', 'Jack Taylor', 'Bárbara Rey', 'Carlos Lemos']",lesbian
Prey,"['Horror', ' Mystery', ' Sci-Fi']",85 min,1977,"A deadly shape-shifting alien infiltrates a country house occupied by two lesbians, and proceeds to study their behaviour, for a sinister purpose.",5.3,1567,0.0,['Norman J. Warren'],"['Barry Stokes', 'Sally Faulkner', 'Glory Annen', 'Sandy Chinney']",lesbian
"Pepi, Luci, Bom and Other Girls Like Mom",['Comedy'],82 min,1980,Pepi is raped by the policeman who catches her growing marijuana in her apartment. She seeks revenge by getting his masochist wife to leave him.,6.1,5903,0.0,['Pedro Almodóvar'],"['Carmen Maura', 'Félix Rotaeta', 'Alaska', 'Eva Siva']",lesbian
Deported Women of the SS Special Section,"['Drama', ' Horror', ' Thriller']",98 min,1976,"Young women in Nazi-occupied countries are packed onto a train and shipped off to a prison camp, where the sadistic commandant uses them as rewards for his lesbian guards and perverted and deviant troops.",4.4,576,0.0,['Rino Di Silvestro'],"['John Steiner', 'Lina Polito', 'Erna Schurer', 'Sara Sperati']",lesbian
Bonnie's Kids,"['Crime', ' Drama', ' Thriller']",105 min,1972,"Rebellious sisters and a crooked PI try to escape from the girls' mobster uncle with stolen loot, and meet dangerous characters while dodging a pair of enforcers.",6.2,913,0.0,['Arthur Marks'],"['Tiffany Bolling', 'Steve Sandor', 'Robin Mattson', 'Scott Brady']",lesbian
A Virgin Among the Living Dead,['Horror'],105 min,1973,"Following the death of her father, a young girl visits her estranged family at their sinister castle in the countryside, and comes to realize her eccentric and morbid relatives are not quite alive.",4.9,2717,0.0,[],"['Christina von Blanc', 'Carmen Yazalde', 'Anne Libert', 'Rosa Palomar']",lesbian
Nude Django,"['Comedy', ' Western']",73 min,1968,A schoolteacher arrives in town with the map to a gold mine. The lesbian dance-hall owner schemes to steal the map.,3.4,255,0.0,['Byron Mabe'],"['Steve Stunning', 'Cara Peters', 'Steve Vincent', 'Darlene Darling']",lesbian
Rabid Grannies,"['Comedy', ' Horror']",89 min,1988,Two sweet little old ladies fall victim to an ancient curse that transforms them into bloodthirsty killers!,4.8,2038,0.0,['Emmanuel Kervyn'],"['Catherine Aymerie', 'Caroline Braeckman', 'Richard Cotica', 'Danielle Daven']",lesbian
Så jävla easy going,"['Comedy', ' Drama', ' Romance']",91 min,2022,"While desperately trying to find ways to get her ADHD medication, 18-year-old Joanna is trying to figure out her newfound feelings towards her classmate Audrey, but also towards herself.",6.6,928,0.0,['Christoffer Sandler'],"['Nikki Hanseblad', 'Melina Benett Paukkonen', 'Emil Algpeus', 'Shanti Roney']",lesbian
America 3000,"['Action', ' Adventure', ' Comedy']",92 min,1986,"In a post-apocalyptic wasteland where a tribe of women rule and all men are either ferals or slaves, one men rises up to free the men. Can they coexist in peace or will they die in war?",4.2,1571,0.0,['David Engelbach'],"['Chuck Wagner', 'Laurene Landon', 'William Wallace', 'Sue Giosa']",lesbian
Women Behind Bars,"['Crime', ' Thriller']",75 min,1975,"A small-time hood brings the attention of the law with an insurance scam and diamond theft, but things become even more interesting when his moll murders him and is slammed behind bars ...                See full summary »",4.1,750,0.0,['Jesús Franco'],"['Lina Romay', 'Martine Stedil', 'Nathalie Chape', 'Roger Darton']",lesbian
